		m009 m016 m033 m043 m072b m076 m080 m084
Hakuyari1	1	192 159 124 296 319 268 204 219
Hakuyari1	1	192 159 136 296 319 272 204 219
Hakuyari1_2	1	192 159 124 296 319 268 204 219
Hakuyari1_2	1	192 159 136 305 319 272 204 219
Hakuyari1_3	1	192 159 124 293 319 268 204 219
Hakuyari1_3	1	192 159 136 305 319 272 204 219
Hakuyari1_4	1	192 159 124 293 319 268 204 219
Hakuyari1_4	1	192 159 136 305 319 272 204 219
Hakuyari1_5	1	192 159 124 293 319 268 204 219
Hakuyari1_5	1	192 159 136 305 319 272 204 219
Hakuyari1_6	1	192 159 124 293 319 268 204 219
Hakuyari1_6	1	192 159 136 305 319 272 204 219
Hakuyari1_7	1	192 150 124 293 319 268 204 219
Hakuyari1_7	1	192 159 136 305 319 272 204 219
Hakuyari1_8	1	192 159 124 296 319 268 204 219
Hakuyari1_8	1	192 159 136 305 319 272 204 219
Hakuyari1_9	1	192 159 124 293 319 268 204 219
Hakuyari1_9	1	192 159 136 305 319 272 204 219
Hakuyari1_10	1	192 159 124 293 319 268 204 219
Hakuyari1_10	1	192 159 136 305 319 272 204 219
Hakuyari1_11	1	192 159 124 293 319 268 204 219
Hakuyari1_11	1	192 159 136 305 319 272 204 219
Hakuyari1_12	1	192 159 124 293 319 268 204 219
Hakuyari1_12	1	192 159 136 305 319 272 204 219
Hakuyari1_13	1	192 158 124 296 318 266 204 219
Hakuyari1_13	1	192 158 136 305 318 270 204 219
Hakuyari1_14	1	192 158 124 293 318 266 204 219
Hakuyari1_14	1	192 158 136 305 318 270 204 219
Hakuyari1_15	1	192 158 124 296 318 266 204 219
Hakuyari1_15	1	192 158 136 305 318 270 204 219
Hakuyari1_16	1	192 158 124 296 318 266 204 219
Hakuyari1_16	1	192 158 136 305 318 270 204 219
Hakuyari1_17	1	192 158 124 296 318 266 204 219
Hakuyari1_17	1	192 158 136 305 318 270 204 219
Hakuyari1_18	1	192 158 124 296 318 266 204 219
Hakuyari1_18	1	192 158 136 305 318 270 204 219
Hakuyari1_19	1	192 158 124 296 318 266 204 219
Hakuyari1_19	1	192 158 136 305 318 270 204 219
Hakuyari1_20	1	192 158 124 296 318 266 204 219
Hakuyari1_20	1	192 158 136 305 318 270 204 219
Hakuyari1_21	1	192 158 124 296 318 268 204 219
Hakuyari1_21	1	192 158 136 305 318 270 204 219
Hakuyari1_22	1	192 158 124 296 318 266 204 219
Hakuyari1_22	1	192 158 136 305 318 270 204 219
Hakuyari1_23	1	192 158 124 296 318 266 204 219
Hakuyari1_23	1	192 158 136 305 318 270 204 219
Hakuyari1_24	1	192 158 124 296 318 266 204 219
Hakuyari1_24	1	192 158 136 305 318 270 204 219
Hakuyari1_25	1	192 158 124 296 318 266 204 219
Hakuyari1_25	1	192 158 136 305 318 270 204 219
Hakuyari1_26	1	192 158 124 296 318 266 204 219
Hakuyari1_26	1	192 158 136 296 318 270 204 219
Hakuyari1_27	1	192 158 124 296 318 266 204 219
Hakuyari1_27	1	192 158 136 305 318 270 204 219
Hakuyari1_28	1	192 158 124 296 318 266 204 219
Hakuyari1_28	1	192 158 136 305 318 270 204 219
Hakuyari1_29	1	192 158 124 296 318 266 204 219
Hakuyari1_29	1	192 158 136 296 318 270 204 219
Hakuyari1_30	1	192 158 124 296 318 266 204 219
Hakuyari1_30	1	192 158 136 305 318 270 204 219
Kisokoma1	2	192 159 124 296 318 268 216 219
Kisokoma1	2	192 159 136 305 318 272 216 219
Kisokoma1_2	2	193 159 124 296 319 268 204 219
Kisokoma1_2	2	193 159 124 296 319 272 204 219
Kisokoma1_3	2	193 159 124 296 319 268 204 219
Kisokoma1_3	2	193 159 136 305 319 272 204 219
Kisokoma1_4	2	192 159 124 296 318 268 216 219
Kisokoma1_4	2	192 159 136 305 318 272 216 219
Kisokoma1_5	2	192 159 124 296 318 268 216 219
Kisokoma1_5	2	192 159 136 305 318 272 216 219
Kisokoma1_6	2	193 159 124 296 319 268 204 219
Kisokoma1_6	2	193 159 136 296 319 272 204 219
Kisokoma1_7	2	192 159 124 296 319 268 204 219
Kisokoma1_7	2	192 159 136 305 319 272 204 219
Kisokoma1_8	2	192 159 124 293 318 268 204 219
Kisokoma1_8	2	192 159 136 305 319 272 216 219
Kisokoma1_9	2	192 159 124 293 318 268 216 219
Kisokoma1_9	2	192 159 136 305 318 274 216 219
Kisokoma1_10	2	192 159 124 293 318 268 216 219
Kisokoma1_10	2	192 159 136 305 318 274 216 219
Kisokoma1_11	2	192 159 124 293 318 268 216 219
Kisokoma1_11	2	192 159 136 305 318 274 216 219
Kisokoma1_12	2	192 159 124 293 318 268 216 219
Kisokoma1_12	2	192 159 136 305 318 274 216 219
Kisokoma1_13	2	192 159 124 293 319 270 204 223
Kisokoma1_13	2	192 159 136 305 319 270 204 223
Kisokoma1_14	2	192 159 124 293 318 268 216 219
Kisokoma1_14	2	192 159 136 305 318 274 216 219
Kisokoma1_15	2	192 159 124 293 318 268 216 219
Kisokoma1_15	2	192 159 136 305 318 274 216 219
Kisokoma1_16	2	192 159 124 293 318 268 216 219
Kisokoma1_16	2	192 159 136 305 318 274 216 219
Kisokoma1_17	2	192 159 124 293 318 268 216 219
Kisokoma1_17	2	192 159 136 293 318 274 216 219
Kisokoma1_18	2	192 158 124 296 318 268 216 219
Kisokoma1_18	2	192 158 136 305 318 274 216 219
Kisokoma1_19	2	192 159 124 293 318 266 204 219
Kisokoma1_19	2	192 159 136 305 318 270 204 219
Kisokoma1_20	2	192 159 124 293 318 268 216 219
Kisokoma1_20	2	192 159 136 305 318 274 216 219
Kisokoma1_21	2	192 159 124 305 318 268 216 219
Kisokoma1_21	2	192 159 136 305 318 274 216 219
Kisokoma1_22	2	192 159 124 293 318 268 216 219
Kisokoma1_22	2	192 159 136 305 318 274 216 219
Kisokoma1_23	2	192 159 124 293 318 268 216 219
Kisokoma1_23	2	192 159 136 305 318 274 216 219
Kisokoma1_24	2	192 159 124 293 318 268 216 219
Kisokoma1_24	2	192 159 136 305 318 274 216 219
Kisokoma1_25	2	192 159 124 293 318 268 216 219
Kisokoma1_25	2	192 159 136 293 318 274 216 219
Kisokoma1_26	2	192 159 124 293 318 268 216 219
Kisokoma1_26	2	192 159 136 305 318 274 216 219
Kisokoma1_27	2	192 159 124 293 318 268 216 219
Kisokoma1_27	2	192 159 136 305 318 274 216 219
Kisokoma1_28	2	192 159 124 293 318 268 216 219
Kisokoma1_28	2	192 159 136 305 318 274 216 219
Kisokoma1_29	2	192 159 124 293 318 268 216 219
Kisokoma1_29	2	192 159 136 305 318 274 216 219
Kisokoma1_30	2	192 159 124 293 318 268 216 219
Kisokoma1_30	2	192 159 136 305 318 274 216 219
Matu0	3	192 158 124 296 318 266 204 219
Matu0	3	192 158 136 305 318 270 204 219
Matu0_2	3	192 158 124 296 318 266 204 219
Matu0_2	3	192 158 136 305 318 270 204 219
Matu0_3	3	192 158 124 296 318 266 204 219
Matu0_3	3	192 158 136 305 318 270 204 219
Matu0_4	3	192 158 124 296 318 266 204 219
Matu0_4	3	192 158 136 305 318 270 204 219
Matu0_5	3	192 158 124 296 318 266 204 219
Matu0_5	3	192 158 136 305 318 270 204 219
Matu0_6	3	192 158 124 296 318 266 204 219
Matu0_6	3	192 158 136 305 318 270 204 219
Matu0_7	3	192 158 124 296 318 266 204 219
Matu0_7	3	192 158 136 305 318 270 204 219
Matu0_8	3	192 158 124 296 318 266 204 219
Matu0_8	3	192 158 136 305 318 270 204 219
Matu0_9	3	192 158 124 296 318 266 204 219
Matu0_9	3	192 158 136 305 318 270 204 219
Matu0_10	3	192 158 124 296 318 266 204 219
Matu0_10	3	192 158 136 305 318 270 204 219
Matu0_11	3	192 158 124 296 318 266 204 219
Matu0_11	3	192 158 136 305 318 270 204 219
Matu0_12	3	193 159 124 296 318 266 204 219
Matu0_12	3	193 159 136 305 318 272 204 219
Matu0_13	3	193 159 124 296 315 266 204 219
Matu0_13	3	193 159 136 305 318 270 204 219
Matu0_14	3	193 159 124 296 318 266 204 219
Matu0_14	3	193 159 136 305 318 270 204 219
Matu0_15	3	192 158 124 293 318 266 204 219
Matu0_15	3	192 158 136 305 318 270 204 219
Matu0_16	3	192 158 124 296 318 266 204 219
Matu0_16	3	192 158 136 305 318 270 204 219
Matu0_17	3	192 158 124 305 318 266 204 219
Matu0_17	3	192 158 136 305 318 270 204 219
Matu0_18	3	192 158 124 296 318 266 204 219
Matu0_18	3	192 158 136 305 318 270 204 219
Matu0_19	3	192 158 124 296 318 266 204 219
Matu0_19	3	192 158 136 305 318 270 204 219
Matu0_20	3	192 158 124 296 318 266 204 219
Matu0_20	3	192 158 136 305 318 270 204 219
Matu0_21	3	192 158 124 296 318 266 204 219
Matu0_21	3	192 158 136 305 318 270 204 219
Matu0_22	3	192 158 124 296 318 266 204 219
Matu0_22	3	192 158 136 305 318 270 204 219
Matu0_23	3	192 158 124 296 318 266 204 219
Matu0_23	3	192 158 136 305 318 270 204 219
Matu1	4	192 159 124 293 318 268 216 219
Matu1	4	192 159 136 305 318 274 216 219
Matu1_2	4	192 159 124 305 318 268 216 219
Matu1_2	4	192 159 136 305 318 274 216 219
Matu1_3	4	192 158 124 296 318 266 204 219
Matu1_3	4	192 158 136 305 318 270 204 219
Matu1_4	4	192 158 124 296 318 266 204 219
Matu1_4	4	192 158 136 296 318 270 204 219
Matu1_5	4	192 158 124 296 318 266 204 219
Matu1_5	4	192 158 136 305 318 270 204 219
Matu1_6	4	192 158 124 293 318 266 204 219
Matu1_6	4	192 158 136 293 318 270 204 219
Matu1_7	4	192 158 124 296 318 266 204 219
Matu1_7	4	192 158 136 305 318 270 204 219
Name0	5	193 159 124 296 318 266 216 219
Name0	5	193 159 136 305 318 270 216 223
Name0_2	5	193 159 124 296 318 266 216 219
Name0_2	5	193 159 136 305 318 270 216 223
Name0_3	5	193 159 124 296 318 266 216 219
Name0_3	5	193 159 136 305 318 270 216 223
Name0_4	5	193 159 124 296 318 266 216 219
Name0_4	5	193 159 136 305 318 270 216 223
Name0_5	5	193 159 124 296 318 266 216 219
Name0_5	5	193 159 136 305 318 270 216 223
Name0_6	5	193 159 124 296 318 266 216 219
Name0_6	5	193 159 136 305 318 270 216 223
Name0_7	5	193 159 124 296 318 266 216 219
Name0_7	5	193 159 136 305 318 270 216 223
Name0_8	5	192 159 124 293 318 268 216 219
Name0_8	5	192 159 136 305 318 274 216 219
Name0_9	5	192 159 124 293 318 268 216 219
Name0_9	5	192 159 136 305 318 274 216 219
Name0_10	5	192 159 124 293 318 268 216 219
Name0_10	5	192 159 136 305 318 274 216 219
Name0_11	5	192 150 124 305 318 266 216 219
Name0_11	5	192 159 136 305 318 268 216 219
Name1	6	193 159 124 296 318 266 216 219
Name1	6	193 159 136 305 318 270 216 223
Name1_2	6	193 159 124 296 318 266 216 219
Name1_2	6	193 159 136 305 318 270 216 223
Name1_3	6	192 159 124 293 318 268 216 219
Name1_3	6	192 159 136 305 318 274 216 219
Name1_4	6	192 159 124 293 318 268 216 219
Name1_4	6	192 159 136 305 318 274 216 219
Name1_5	6	192 159 124 293 318 268 216 219
Name1_5	6	192 159 136 305 318 274 216 219
Name1_6	6	193 150 124 296 318 266 216 219
Name1_6	6	193 150 136 305 318 270 216 223
Name1_7	6	193 150 124 296 318 266 216 219
Name1_7	6	193 150 136 305 318 270 216 223
Name1_8	6	192 159 124 293 318 268 216 219
Name1_8	6	192 159 136 305 318 274 216 219
Name1_9	6	192 159 124 293 318 268 216 219
Name1_9	6	192 159 136 305 318 274 216 219
Name1_10	6	193 150 124 296 318 266 216 219
Name1_10	6	193 150 136 296 318 270 216 223
Name1_11	6	193 159 124 296 318 266 216 219
Name1_11	6	193 159 136 305 318 270 216 223
Name1_12	6	192 159 124 293 318 268 216 219
Name1_12	6	192 159 136 305 318 274 216 219
Name1_13	6	192 159 124 293 318 268 216 219
Name1_13	6	192 159 136 305 318 274 216 219
Name1_14	6	192 159 124 293 318 268 216 219
Name1_14	6	192 159 136 305 318 274 216 219
Name1_15	6	192 150 124 296 318 266 216 219
Name1_15	6	192 159 136 305 318 268 216 219
Name1_16	6	192 159 124 293 318 268 216 219
Name1_16	6	192 159 136 305 318 274 216 219
Name1_17	6	192 159 124 293 318 268 216 219
Name1_17	6	192 159 136 305 318 274 216 219
Name1_18	6	192 150 124 296 318 268 216 219
Name1_18	6	192 159 136 305 318 270 216 219
Name1_19	6	192 159 124 293 318 268 216 219
Name1_19	6	192 159 136 293 318 274 216 219
Oodaira0	7	192 159 124 296 319 266 204 219
Oodaira0	7	192 159 136 305 319 272 204 219
Oodaira0_2	7	193 159 124 293 315 268 204 219
Oodaira0_2	7	193 159 136 305 319 272 204 219
Oodaira0_3	7	193 159 124 296 315 268 204 219
Oodaira0_3	7	193 159 136 305 315 272 204 219
Oodaira0_4	7	192 159 124 296 319 266 204 219
Oodaira0_4	7	192 159 136 305 319 272 204 219
Oodaira0_5	7	193 159 124 293 319 266 204 219
Oodaira0_5	7	193 159 136 305 319 272 204 219
Oodaira1	8	193 159 124 293 318 268 204 219
Oodaira1	8	193 159 136 305 318 272 204 219
Oodaira1_2	8	192 159 124 296 318 268 204 219
Oodaira1_2	8	192 159 136 305 318 272 204 219
Oodaira1_3	8	193 159 124 296 315 268 204 219
Oodaira1_3	8	193 159 136 296 315 274 204 219
Oodaira1_4	8	193 159 124 293 318 268 204 219
Oodaira1_4	8	193 159 136 305 318 272 204 219
Oodaira1_5	8	193 159 124 293 318 268 204 219
Oodaira1_5	8	193 159 136 305 318 272 204 219
Oodaira1_6	8	193 159 124 296 319 266 204 219
Oodaira1_6	8	193 159 136 306 319 272 204 219
Oodaira1_7	8	192 159 124 293 319 268 204 219
Oodaira1_7	8	192 159 136 305 319 272 204 219
Oodaira1_8	8	193 159 124 293 319 268 204 219
Oodaira1_8	8	193 159 136 305 319 272 204 219
Oodaira1_9	8	193 159 124 293 319 268 204 219
Oodaira1_9	8	193 159 136 305 319 272 204 219
Oodaira1_10	8	193 159 124 293 319 268 204 219
Oodaira1_10	8	193 159 136 305 319 272 204 219
Oodaira1_11	8	193 159 124 293 319 268 204 219
Oodaira1_11	8	193 159 136 305 319 272 204 219
Oodaira1_12	8	192 159 124 296 318 268 216 219
Oodaira1_12	8	192 159 136 305 318 272 216 219
Oodaira1_13	8	193 159 124 293 319 268 204 219
Oodaira1_13	8	193 159 136 305 319 272 216 219
Oodaira1_14	8	193 159 124 293 319 268 204 219
Oodaira1_14	8	193 159 136 305 319 272 204 219
Oodaira1_15	8	193 159 124 293 319 268 204 219
Oodaira1_15	8	193 159 136 305 319 272 204 219
Oodaira1_16	8	192 159 124 296 318 268 216 219
Oodaira1_16	8	192 159 136 305 318 272 216 219
Oodaira1_17	8	193 159 124 293 319 268 204 219
Oodaira1_17	8	193 159 136 293 319 272 204 219
Oodaira1_18	8	192 159 124 296 319 266 204 219
Oodaira1_18	8	192 159 136 305 319 272 204 219
Oodaira1_19	8	193 159 124 293 319 268 204 219
Oodaira1_19	8	193 159 136 305 319 272 204 219
Oodaira1_20	8	193 159 124 293 319 268 204 219
Oodaira1_20	8	193 159 136 305 319 272 204 219
Oodaira1_21	8	193 159 124 293 319 268 204 219
Oodaira1_21	8	193 159 136 305 319 272 204 219
Oodaira1_22	8	193 159 124 293 319 268 204 219
Oodaira1_22	8	193 159 136 305 319 272 204 219
Oodaira1_23	8	193 159 124 293 319 268 204 219
Oodaira1_23	8	193 159 136 305 319 272 204 219
Oodaira1_24	8	193 159 124 296 319 268 204 219
Oodaira1_24	8	193 159 136 305 319 272 204 219
Oodaira1_25	8	192 159 124 296 319 268 204 219
Oodaira1_25	8	192 159 136 305 319 272 204 219
Senzyo1	9	192 159 124 293 318 268 216 219
Senzyo1	9	192 159 136 305 318 274 216 219
Senzyo1_2	9	192 159 124 293 318 268 216 219
Senzyo1_2	9	192 159 136 305 318 274 216 219
Senzyo1_3	9	192 159 124 305 318 266 216 219
Senzyo1_3	9	192 159 136 305 318 268 216 219
Senzyo1_4	9	192 159 136 296 318 268 216 219
Senzyo1_4	9	192 159 136 305 318 274 216 219
Senzyo1_5	9	192 159 124 293 318 268 216 219
Senzyo1_5	9	192 159 136 305 318 268 216 219
Senzyo1_6	9	192 159 124 293 318 268 216 219
Senzyo1_6	9	192 159 136 305 318 274 216 219
Senzyo1_7	9	192 159 124 293 318 268 216 219
Senzyo1_7	9	192 159 136 305 318 274 216 219
Senzyo1_8	9	192 159 124 293 318 268 216 219
Senzyo1_8	9	192 159 136 305 318 274 216 219
Senzyo1_9	9	192 159 124 293 318 268 216 219
Senzyo1_9	9	192 159 136 305 318 274 216 219
Senzyo1_10	9	192 159 124 293 318 268 216 219
Senzyo1_10	9	192 159 136 305 318 274 216 219
Senzyo1_11	9	192 159 124 293 319 268 204 219
Senzyo1_11	9	192 159 136 305 319 272 204 219
Senzyo1_12	9	192 159 124 293 319 268 204 219
Senzyo1_12	9	192 159 136 305 319 272 204 219
Senzyo1_13	9	192 159 124 293 319 268 204 219
Senzyo1_13	9	192 159 136 305 319 272 204 219
Senzyo1_14	9	192 159 124 293 319 268 204 219
Senzyo1_14	9	192 159 136 293 319 272 204 219
Senzyo1_15	9	192 159 124 293 319 268 204 219
Senzyo1_15	9	192 159 136 305 319 272 204 219
Senzyo1_16	9	192 159 124 293 319 268 204 219
Senzyo1_16	9	192 159 136 305 319 272 204 219
Senzyo1_17	9	192 159 124 293 319 268 204 219
Senzyo1_17	9	192 159 136 305 319 272 204 219
Senzyo1_18	9	192 159 124 293 319 268 204 219
Senzyo1_18	9	192 159 136 305 319 272 204 219
Senzyo1_19	9	192 159 124 293 319 268 204 219
Senzyo1_19	9	192 159 136 305 319 272 204 219
Senzyo1_20	9	192 159 124 293 319 268 204 219
Senzyo1_20	9	192 159 136 305 319 272 204 219
Senzyo1_21	9	192 159 124 293 319 268 204 219
Senzyo1_21	9	192 159 136 305 319 272 204 219
Senzyo1_22	9	192 159 124 293 319 268 204 219
Senzyo1_22	9	192 159 136 305 319 272 204 219
Senzyo1_23	9	192 159 124 293 319 268 204 219
Senzyo1_23	9	192 159 136 305 319 272 204 219
Senzyo1_24	9	192 159 124 293 319 268 204 219
Senzyo1_24	9	192 159 136 305 319 272 204 219
Senzyo1_25	9	192 159 124 293 319 268 204 219
Senzyo1_25	9	192 159 136 305 319 272 204 219
Senzyo1_26	9	192 159 124 293 319 268 204 219
Senzyo1_26	9	192 159 136 305 319 272 204 219
Senzyo1_27	9	192 159 124 293 319 268 204 219
Senzyo1_27	9	192 159 136 305 319 272 204 219
Senzyo1_28	9	192 159 124 293 319 268 204 219
Senzyo1_28	9	192 159 136 305 319 272 204 219
Senzyo1_29	9	192 159 124 293 319 268 204 219
Senzyo1_29	9	192 159 136 305 319 272 204 219
Senzyo1_30	9	192 159 124 293 319 268 204 219
Senzyo1_30	9	192 159 136 305 319 272 204 219
Todai0	10	192 158 124 296 318 266 204 219
Todai0	10	192 158 136 305 318 270 204 219
Todai0_2	10	192 158 124 293 318 266 204 219
Todai0_2	10	192 158 136 293 318 270 204 219
Todai0_3	10	192 158 124 296 318 266 204 219
Todai0_3	10	192 158 136 305 318 270 204 219
Todai0_4	10	192 159 124 293 319 266 204 219
Todai0_4	10	192 159 136 305 319 272 204 219
Todai0_5	10	193 159 124 293 318 268 204 219
Todai0_5	10	193 159 136 305 318 272 204 219
Todai0_6	10	193 159 124 293 318 268 204 219
Todai0_6	10	193 159 136 305 318 272 204 219
Todai0_7	10	193 159 124 293 318 268 204 219
Todai0_7	10	193 159 136 305 318 272 204 219
Todai0_8	10	193 159 124 293 318 268 204 219
Todai0_8	10	193 159 136 305 318 272 204 219
Todai0_9	10	193 159 124 293 318 272 204 219
Todai0_9	10	193 159 136 305 318 272 204 219
Todai0_10	10	193 159 124 293 318 268 204 219
Todai0_10	10	193 159 136 305 318 272 204 219
Todai0_11	10	193 159 124 293 318 268 204 219
Todai0_11	10	193 159 136 305 318 272 204 219
Todai0_12	10	193 159 124 293 318 268 204 219
Todai0_12	10	193 159 136 305 318 272 204 219
Todai0_13	10	192 159 124 305 318 266 204 219
Todai0_13	10	192 159 136 305 319 272 204 219
Todai0_14	10	193 159 124 293 318 268 204 219
Todai0_14	10	193 159 136 305 318 272 204 219
Todai0_15	10	193 159 124 296 319 266 204 219
Todai0_15	10	193 159 136 305 319 272 204 219
Todai0_16	10	193 159 124 293 318 268 204 219
Todai0_16	10	193 159 136 293 318 272 204 219
Todai0_17	10	193 159 124 293 318 268 204 219
Todai0_17	10	193 159 136 305 318 272 204 219
Todai0_18	10	192 159 124 296 319 266 204 219
Todai0_18	10	192 159 136 296 319 272 204 219
Todai0_19	10	193 159 124 293 318 268 204 219
Todai0_19	10	193 159 136 305 318 272 204 219
Todai0_20	10	193 159 124 293 318 268 204 219
Todai0_20	10	193 159 136 305 318 272 204 219
Todai1	11	192 158 124 296 318 266 204 219
Todai1	11	192 158 136 296 318 270 204 219
Todai1_2	11	192 158 124 296 318 266 204 219
Todai1_2	11	192 158 136 305 318 270 204 219
Todai1_3	11	192 159 124 296 319 266 204 219
Todai1_3	11	192 159 136 305 319 272 204 219
Todai1_4	11	193 159 124 293 318 268 204 219
Todai1_4	11	193 159 136 305 318 272 204 219
Todai1_5	11	193 159 124 293 318 268 204 219
Todai1_5	11	193 159 136 305 318 272 204 219
Todai1_6	11	193 159 124 293 318 268 204 219
Todai1_6	11	193 159 136 305 318 272 204 219
Todai1_7	11	193 159 124 293 318 268 204 219
Todai1_7	11	193 159 136 305 318 272 204 219
Todai1_8	11	193 159 124 305 319 268 216 219
Todai1_8	11	193 159 136 305 319 272 216 219
Todai1_9	11	193 159 124 293 319 266 204 219
Todai1_9	11	193 159 136 305 319 272 204 219
Todai1_10	11	193 159 124 296 318 268 216 219
Todai1_10	11	193 159 136 305 318 272 216 219
